sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name,type,type_number,laketype,laketype_number,lake_surface_area,basin_name,alt_basin_name,lakeshed_area,dist_gris,dist_ocean,timing,main_lakes,qc_flag,year,doy,E_I_d18O_bayes,E_I_d18O_1sd_bayes,E_I_d2H_bayes,E_I_d2H_1sd_bayes,E_I_dxs_bayes,E_I_dxs_1sd_bayes
2018_099_AngryDuckLake_1,2018-07-05,76.5662,-68.4312,74,-0.0095,-0.1,-0.024,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,1,1,0,2018,186,0.965,0.461,0.736,0.639,1.51,2.183
2018_258_AngryDuckLake_1,2018-08-23,76.5662,-68.4312,74,-0.0099,-0.102,-0.023,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,2,1,0,2018,235,1.535,0.771,1.159,1.067,2.416,3.609
2019_137_AngryDuckLake_26072019,2019-07-26,76.5662,-68.4312,74,-0.0047,-0.08,-0.042,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,3,1,0,2019,207,2.847,0.863,1.666,0.929,16.253,14.832
2018_148_DLaunchLake_1,2018-07-11,76.5105,-68.88,86,-0.0193,-0.15,0.004,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,1,0,0,2018,192,0.062,0.191,0.079,0.313,0.042,0.634
2018_200_DLaunchLake_07.08.18,2018-08-07,76.5105,-68.88,86,-0.0178,-0.141,0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,2,0,0,2018,219,0.124,0.216,0.162,0.36,0.077,0.696
2019_069_DLaunncLake_22072019,2019-07-22,76.5105,-68.88,86,-0.0174,-0.14,-0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,3,0,0,2019,203,0.163,0.253,0.2,0.426,0.115,0.814
2018_079_DiabaseDepthLake_1,2018-07-01,76.571,-68.6848,197,-0.0192,-0.15,0.004,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,1,1,0,2018,182,0.047,0.135,0.048,0.225,0.043,0.458
2018_281_DiabaseDepthLake_1,2018-08-22,76.571,-68.6848,197,-0.0178,-0.142,0,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,2,1,0,2018,234,0.101,0.143,0.113,0.241,0.087,0.475
2019_101_DiabaseDepthLake_25072019,2019-07-25,76.571,-68.6848,197,-0.0176,-0.144,-0.003,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,3,1,0,2019,206,0.127,0.169,0.114,0.281,0.144,0.574
2018_062_DirtyIceLake_1,2018-06-29,76.5636,-68.5407,185,-0.0172,-0.139,-0.001,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,1,1,0,2018,180,0.08,0.082,0.059,0.149,0.103,0.284
2018_273_DirtyIceLake_1,2018-08-23,76.5636,-68.5407,185,-0.0155,-0.131,-0.007,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,2,1,0,2018,235,0.172,0.095,0.145,0.166,0.213,0.344
2019_037_DirtyIceLake_19072019,2019-07-19,76.5636,-68.5407,185,-0.0146,-0.13,-0.013,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,3,1,0,2019,200,0.236,0.104,0.166,0.177,0.346,0.394
2018_131_IceRampBaseMeltPool_1,2018-07-07,76.4111,-68.2997,500,-0.0229,-0.168,0.015,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,NA,0,0,2018,188,-0.074,0.294,-0.088,0.481,-0.053,0.961
2019_009_IceRampPool_17072019,2019-07-17,76.4111,-68.2997,500,-0.0202,-0.151,0.011,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,NA,0,0,2019,198,-0.01,0.427,0.005,0.736,-0.032,1.318
2019_019_IceRampPool_18072019,2019-07-18,76.4111,-68.2997,500,-0.0202,-0.151,0.011,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,3,0,0,2019,199,-0.01,0.428,0.005,0.738,-0.032,1.317
2018_093_LakeCrescent_1,2018-07-05,76.5384,-68.4327,155,-0.0191,-0.151,0.002,Lake Crescent,lake,1,downstream,3,257987,Pituffik,North River,19791709,4458,3545,1,1,0,2018,186,0.13,0.256,0.163,0.399,0.076,0.904
2018_262_LakeCrescent_1,2018-08-23,76.5384,-68.4327,155,-0.0179,-0.144,-0.001,Lake Crescent,lake,1,downstream,3,257987,Pituffik,North River,19791709,4458,3545,2,1,0,2018,235,0.187,0.284,0.237,0.452,0.115,0.973
2019_067_LakeCrescent_22072019,2019-07-22,76.5384,-68.4327,155,-0.0185,-0.148,0,Lake Crescent,lake,1,downstream,3,257987,Pituffik,North River,19791709,4458,3545,NA,1,0,2019,203,0.183,0.315,0.235,0.514,0.111,1.041
2019_231_LakeCrescent_01082019,2019-08-01,76.5384,-68.4327,155,-0.0183,-0.147,-0.001,Lake Crescent,lake,1,downstream,3,257987,Pituffik,North River,19791709,4458,3545,3,1,0,2019,213,0.195,0.321,0.247,0.52,0.126,1.067
2018_005_LakePotato_1,2018-06-14,76.5569,-68.5481,190,-0.0226,-0.173,0.008,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,165,0.024,0.221,0.03,0.346,0.013,0.776
2018_013_LakePotato_1,2018-06-18,76.5569,-68.5481,190,-0.02,-0.156,0.004,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,169,0.118,0.272,0.163,0.441,0.056,0.906
2018_024_LakePotato_1,2018-06-22,76.5569,-68.5481,190,-0.0195,-0.153,0.003,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,173,0.135,0.271,0.184,0.44,0.066,0.905
2018_087_LakePotato_1,2018-07-01,76.5569,-68.5481,190,-0.0184,-0.146,0.001,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,1,1,0,2018,182,0.183,0.288,0.247,0.464,0.092,0.967
2018_152_PotatoLake_1,2018-07-12,76.5569,-68.5481,190,-0.0182,-0.144,0.002,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,193,0.184,0.279,0.257,0.454,0.078,0.931
2018_187_LakePotato_1,2018-07-23,76.5569,-68.5481,190,-0.0182,-0.145,0.001,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,204,0.187,0.284,0.251,0.457,0.092,0.959
2018_192_LakePotato_1,2018-07-30,76.5569,-68.5481,190,-0.0176,-0.142,-0.001,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,211,0.216,0.294,0.28,0.468,0.119,1.007
2018_206_LakePotato_1,2018-08-10,76.5569,-68.5481,190,-0.0172,-0.14,-0.002,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,NA,1,0,2018,222,0.237,0.302,0.303,0.48,0.136,1.047
2018_261_LakePotato_1,2018-08-23,76.5569,-68.5481,190,-0.0172,-0.14,-0.002,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,2,1,0,2018,235,0.241,0.307,0.309,0.49,0.137,1.055
2019_028_LakePotato_19072019,2019-07-19,76.5569,-68.5481,190,-0.017,-0.141,-0.005,Lake Potato,lake,1,downstream,3,60289,Amitsuarsuk,Potato,4938559,8179,2775,3,1,0,2019,200,0.283,0.35,0.344,0.559,0.194,1.19
2018_109_LakeQuattro_1,2018-07-06,76.5483,-68.488,136,-0.0184,-0.146,0.001,Lake Quattro,lake,1,downstream,3,7144,Amitsuarsuk,Potato,6439204,6530,3309,1,1,0,2018,187,0.055,0.135,0.045,0.219,0.072,0.469
2018_260_LakeQuattro_1,2018-08-23,76.5483,-68.488,136,-0.0168,-0.138,-0.004,Lake Quattro,lake,1,downstream,3,7144,Amitsuarsuk,Potato,6439204,6530,3309,2,1,0,2018,235,0.13,0.16,0.121,0.261,0.147,0.554
2019_128_LakeQuattro_26072019,2019-07-26,76.5483,-68.488,136,-0.0163,-0.139,-0.009,Lake Quattro,lake,1,downstream,3,7144,Amitsuarsuk,Potato,6439204,6530,3309,3,1,0,2019,207,0.173,0.185,0.128,0.297,0.246,0.652
2018_029_LakeTuto_1,2018-06-22,76.43,-68.327,489,-0.0173,-0.138,0,Lake Tuto,lake,1,altered,6,123243,Sioraq,South River,612976,1071,15572,1,0,0,2018,173,0.594,0.871,0.949,1.475,0.153,2.692
2018_195_LakeTuto_03.08.18,2018-08-03,76.43,-68.327,489,-0.0171,-0.136,0.001,Lake Tuto,lake,1,altered,6,123243,Sioraq,South River,612976,1071,15572,2,0,0,2018,215,0.568,0.821,0.906,1.381,0.136,2.58
2019_013_LakeTuto_17072019,2019-07-17,76.43,-68.327,489,-0.0174,-0.14,-0.001,Lake Tuto,lake,1,altered,6,123243,Sioraq,South River,612976,1071,15572,NA,0,0,2019,198,0.613,0.905,0.936,1.483,0.179,2.926
2019_156_LakeTutoNorth_27072019,2019-07-27,76.43,-68.327,489,-0.0171,-0.139,-0.002,Lake Tuto,lake,1,altered,6,123243,Sioraq,South River,612976,1071,15572,3,0,0,2019,208,0.65,0.94,0.98,1.537,0.2,3.065
2019_157_LakeTutoSouth_27072019,2019-07-27,76.43,-68.327,489,-0.0166,-0.134,-0.001,Lake Tuto,lake,1,altered,6,123243,Sioraq,South River,612976,1071,15572,NA,0,0,2019,208,0.695,0.971,1.089,1.63,0.187,3.058
2018_111_LoonPond_1,2018-07-06,76.5441,-68.4679,136,-0.0161,-0.137,-0.008,Loon Pond,lake,1,headwater,2,4091,Pituffik,North River,64899,5852,3589,1,1,0,2018,187,0.185,0.166,0.157,0.253,0.232,0.643
2018_274_LoonPond_1,2018-08-23,76.5441,-68.4679,136,-0.0142,-0.127,-0.013,Loon Pond,lake,1,headwater,2,4091,Pituffik,North River,64899,5852,3589,2,1,0,2018,235,0.364,0.229,0.321,0.34,0.443,0.936
2019_065_LoonPond_22072019,2019-07-22,76.5441,-68.4679,136,-0.0134,-0.126,-0.019,Loon Pond,lake,1,headwater,2,4091,Pituffik,North River,64899,5852,3589,3,1,0,2019,203,0.411,0.229,0.339,0.347,0.543,0.894
2018_078_NorthMountainViewLake_1,2018-07-01,76.5672,-68.6699,202,-0.0185,-0.147,0.001,North Mountain View Lake,lake,1,downstream,3,42212,Qoorunnapaluk,Horseshoe,2650673,11347,1856,1,1,0,2018,182,0.102,0.215,0.115,0.346,0.082,0.729
2018_265_NorthMountainViewLake_1,2018-08-22,76.5672,-68.6699,202,-0.0172,-0.139,-0.001,North Mountain View Lake,lake,1,downstream,3,42212,Qoorunnapaluk,Horseshoe,2650673,11347,1856,2,1,0,2018,234,0.159,0.231,0.191,0.378,0.11,0.769
2019_106_NorthMountainViewLake_25072019,2019-07-25,76.5672,-68.6699,202,-0.0168,-0.139,-0.005,North Mountain View Lake,lake,1,downstream,3,42212,Qoorunnapaluk,Horseshoe,2650673,11347,1856,3,1,0,2019,206,0.204,0.27,0.222,0.44,0.182,0.892
2018_117_PartyHouseLake_1,2018-07-06,76.5432,-68.4122,161,-0.0163,-0.134,-0.004,Party House Lake,lake,1,headwater,2,20505,Pituffik,North River,192628,4769,3319,1,1,0,2018,187,0.136,0.164,0.132,0.267,0.146,0.566
2018_278_PartyHouseLake_1,2018-08-23,76.5432,-68.4122,161,-0.0158,-0.132,-0.006,Party House Lake,lake,1,headwater,2,20505,Pituffik,North River,192628,4769,3319,2,1,0,2018,235,0.174,0.183,0.168,0.3,0.188,0.623
2019_091_PartyHouseLake_23072019,2019-07-23,76.5432,-68.4122,161,-0.0154,-0.13,-0.007,Party House Lake,lake,1,headwater,2,20505,Pituffik,North River,192628,4769,3319,3,1,0,2019,204,0.208,0.197,0.207,0.332,0.212,0.651
2018_098_PerchedLake_1,2018-07-05,76.5644,-68.4371,73,-0.0112,-0.108,-0.018,Perched Lake,lake,1,megapool,1,6133,Amitsuarsuk,Potato,38142,7039,1233,1,1,0,2018,186,0.528,0.316,0.433,0.482,0.695,1.253
2018_259_PerchedLake_1,2018-08-23,76.5644,-68.4371,73,-0.0104,-0.105,-0.022,Perched Lake,lake,1,megapool,1,6133,Amitsuarsuk,Potato,38142,7039,1233,2,1,0,2018,235,1.132,0.606,0.848,0.852,1.771,2.75
2019_138_PerchedLake_26072019,2019-07-26,76.5644,-68.4371,73,-0.0085,-0.097,-0.029,Perched Lake,lake,1,megapool,1,6133,Amitsuarsuk,Potato,38142,7039,1233,3,1,0,2019,207,0.922,0.393,0.724,0.578,1.312,1.64
2018_017_PowerLake_1,2018-06-19,76.5462,-68.5516,178,-0.0169,-0.139,-0.004,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,170,0.253,0.346,0.313,0.563,0.171,1.148
2018_022_PowerLake_1,2018-06-22,76.5462,-68.5516,178,-0.0168,-0.138,-0.004,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,173,0.253,0.34,0.317,0.554,0.167,1.122
2018_055_PowerLake_1,2018-06-29,76.5462,-68.5516,178,-0.0165,-0.136,-0.004,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,1,1,0,2018,180,0.269,0.344,0.338,0.557,0.171,1.152
2018_153_PowerLake_1,2018-07-12,76.5462,-68.5516,178,-0.0159,-0.131,-0.004,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,193,0.297,0.346,0.393,0.57,0.168,1.13
2018_188_PowerLake_1,2018-07-23,76.5462,-68.5516,178,-0.0157,-0.131,-0.005,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,204,0.318,0.36,0.403,0.585,0.193,1.207
2018_193_PowerLake_30.07.18,2018-07-30,76.5462,-68.5516,178,-0.0156,-0.131,-0.006,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,211,0.321,0.359,0.394,0.573,0.211,1.232
2018_207_PowerLake_1,2018-08-10,76.5462,-68.5516,178,-0.0154,-0.13,-0.007,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2018,222,0.34,0.369,0.414,0.587,0.231,1.265
2018_267_PowerLake_1,2018-08-23,76.5462,-68.5516,178,-0.0154,-0.13,-0.007,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,2,1,0,2018,235,0.35,0.381,0.431,0.61,0.236,1.29
2019_027_PowerLake_19072019,2019-07-19,76.5462,-68.5516,178,-0.0152,-0.129,-0.007,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,NA,1,0,2019,200,0.372,0.394,0.465,0.644,0.239,1.309
2019_207_PowerLake_30072019,2019-07-30,76.5462,-68.5516,178,-0.0148,-0.127,-0.009,Power Lake,lake,1,headwater,2,59537,Pituffik,North River,347391,7527,3862,3,1,0,2019,211,0.404,0.406,0.499,0.66,0.276,1.341
2018_083_SaundersIslandViewLake_1,2018-07-01,76.5802,-68.6619,262,-0.0186,-0.146,0.003,Secret Lake,lake,1,headwater,2,49630,Secret,Secret,600533,12101,906,1,1,0,2018,182,0.033,0.071,0.019,0.129,0.049,0.247
2018_276_SaundersIslandViewLake_1,2018-08-22,76.5802,-68.6619,262,-0.0184,-0.145,0.002,Secret Lake,lake,1,headwater,2,49630,Secret,Secret,600533,12101,906,2,1,0,2018,234,0.038,0.068,0.026,0.124,0.057,0.234
2019_095_SecretLake_25072019,2019-07-25,76.5802,-68.6619,262,-0.0184,-0.146,0.001,Secret Lake,lake,1,headwater,2,49630,Secret,Secret,600533,12101,906,3,1,0,2019,206,0.045,0.081,0.022,0.15,0.078,0.275
2018_121_SereneLake_1,2018-07-07,76.563,-68.5546,205,-0.0166,-0.136,-0.003,Serene Lake,lake,1,headwater,2,7436,Raven,Raven,160228,8867,2366,1,1,0,2018,188,0.095,0.08,0.07,0.141,0.129,0.288
2018_264_SereneLake_1,2018-08-23,76.563,-68.5546,205,-0.0154,-0.131,-0.008,Serene Lake,lake,1,headwater,2,7436,Raven,Raven,160228,8867,2366,2,1,0,2018,235,0.172,0.096,0.132,0.167,0.235,0.355
2019_036_SereneLake_19072019,2019-07-19,76.563,-68.5546,205,-0.0146,-0.129,-0.012,Serene Lake,lake,1,headwater,2,7436,Raven,Raven,160228,8867,2366,3,1,0,2019,200,0.227,0.104,0.164,0.18,0.323,0.387
2018_065_TheTarn_1,2018-06-29,76.5696,-68.5934,244,-0.0178,-0.143,-0.001,The Tarn,lake,1,headwater,2,6432,Amitsuarsuk,Potato,39318,10092,1875,1,1,0,2018,180,0.067,0.078,0.046,0.142,0.101,0.273
2018_155_TheTarn_1,2018-07-13,76.5696,-68.5934,244,-0.0173,-0.14,-0.002,The Tarn,lake,1,headwater,2,6432,Amitsuarsuk,Potato,39318,10092,1875,NA,1,0,2018,194,0.085,0.077,0.068,0.137,0.112,0.271
2019_112_TheTarn_25072019,2019-07-25,76.5696,-68.5934,244,-0.0156,-0.135,-0.01,The Tarn,lake,1,headwater,2,6432,Amitsuarsuk,Potato,39318,10092,1875,3,1,0,2019,206,0.191,0.098,0.136,0.171,0.274,0.363
2018_088_UpperLakePotato_1,2018-07-01,76.5607,-68.5662,193,-0.0188,-0.148,0.002,Upper Lake Potato,lake,1,downstream,3,51069,Amitsuarsuk,Potato,4341661,8739,2603,1,1,0,2018,182,0.049,0.14,0.042,0.232,0.063,0.473
2018_271_UpperLakePotato_1,2018-08-23,76.5607,-68.5662,193,-0.0177,-0.142,0,Upper Lake Potato,lake,1,downstream,3,51069,Amitsuarsuk,Potato,4341661,8739,2603,2,1,0,2018,235,0.091,0.146,0.09,0.241,0.089,0.495
2019_029_UpperLakePotato_19072019,2019-07-19,76.5607,-68.5662,193,-0.0174,-0.143,-0.004,Upper Lake Potato,lake,1,downstream,3,51069,Amitsuarsuk,Potato,4341661,8739,2603,NA,1,0,2019,200,0.119,0.171,0.096,0.28,0.156,0.582
2019_206_UpperLakePotato_30072019,2019-07-30,76.5607,-68.5662,193,-0.017,-0.141,-0.005,Upper Lake Potato,lake,1,downstream,3,51069,Amitsuarsuk,Potato,4341661,8739,2603,3,1,0,2019,211,0.14,0.175,0.116,0.286,0.175,0.603
2018_100_WaterGardenLake_1,2018-07-05,76.5674,-68.4423,73,-0.0119,-0.11,-0.015,Water Garden Lake,lake,1,megapool,1,23730,Other,Other,90265,7340,887,1,1,0,2018,186,0.313,0.141,0.214,0.248,0.465,0.515
2018_279_WaterGardenLake_1,2018-08-23,76.5674,-68.4423,73,-0.0114,-0.108,-0.017,Water Garden Lake,lake,1,megapool,1,23730,Other,Other,90265,7340,887,2,1,0,2018,235,0.525,0.212,0.379,0.387,0.731,0.74
2019_136_WaterGardenLake_26072019,2019-07-26,76.5674,-68.4423,73,-0.0104,-0.105,-0.022,Water Garden Lake,lake,1,megapool,1,23730,Other,Other,90265,7340,887,3,1,0,2019,207,0.461,0.155,0.31,0.268,0.702,0.584
2018_097_WaterLake_1,2018-07-05,76.561,-68.4424,70,-0.0188,-0.149,0.001,Water Lake,lake,1,downstream,3,245299,Amitsuarsuk,Potato,11414629,6502,1369,1,1,0,2018,186,0.07,0.133,0.068,0.213,0.076,0.468
2018_275_WaterLake_1,2018-08-23,76.561,-68.4424,70,-0.0174,-0.141,-0.002,Water Lake,lake,1,downstream,3,245299,Amitsuarsuk,Potato,11414629,6502,1369,2,1,0,2018,235,0.132,0.152,0.143,0.249,0.119,0.521
2019_135_WaterLake_26072019,2019-07-26,76.561,-68.4424,70,-0.0171,-0.142,-0.005,Water Lake,lake,1,downstream,3,245299,Amitsuarsuk,Potato,11414629,6502,1369,3,1,0,2019,207,0.168,0.178,0.158,0.291,0.181,0.614
